category,description,date,title
CINEMA,Le réalisateur Fabien Béziat et le comédien explorent la vie et l’œuvre d’un des artistes français les plus importants et mystérieux.,2022-04-29 20:00:08 +0200,"« Les Trésors de Marcel Pagnol », sur France 5 : le mythe raconté par Fabrice Luchini"
CINEMA,"Chaque semaine, « L’Epoque » paie son coup. Pour le fils d’Alain et Nathalie Delon, ce sera une verveine, aux vertus aussi apaisantes que le livre de souvenirs qu’il vient de publier sur son enfance tout sauf glamour, entre son « ogre » de père et sa mère absente.",2022-04-30 00:40:16 +0200,Un apéro avec Anthony Delon : « J’ai arrêté d’avoir peur de mon père à 17 ans »
CINEMA,"Dans un entretien au « Monde », la cinéaste explique s’être employée à éviter toute forme de manichéisme.",2022-04-30 10:30:06 +0200,"Michaela Pavlatova, réalisatrice de « Ma famille afghane » : « Je n’aime pas la simplification des personnages en animation »"
CINEMA,"En suivant une sculptrice quelques jours avant l’ouverture de son exposition, la réalisatrice américaine interroge, par le biais de l’intime et l’infime, le statut de l’artiste et les tourments de la création.",2022-05-27 17:00:36 +0200,"Cannes 2022 : « Showing Up », l’art et la matière de Kelly Reichardt"
CINEMA,"Fresque familiale sur une mère venue en France de Côte d’Ivoire, le second long-métrage de Léonor Serraille touche par son humanité et son exaltation de l’émancipation individuelle.",2022-05-27 20:06:48 +0200,"Cannes 2022 : « Un petit frère », le long chemin de Rose et des siens"
CINEMA,Le premier film du Pakistanais Saim Sadiq scelle l’amour d’une artiste transsexuelle et d’un fils de famille. Il a reçu la Queer Palm et le prix du jury Un certain regard au Festival de Cannes.,2022-05-28 08:15:14 +0200,"Festival de Cannes : « Joyland », le patriarcat supplanté par l’amour, à Lahore"
CINEMA,"La comédienne, qui a grandi en Martinique, porte « Un petit frère », le second long-métrage de Léonor Séraille, et enchaîne les premiers rôles.",2022-05-28 10:30:05 +0200,"Festival de Cannes : Annabelle Lengronne, forte de France"
CINEMA,"Pour sa dernière sélection au Festival, le programmateur Paolo Moretti a su mêler une nouvelle génération libre et aventureuse à des auteurs identifiés.",2022-05-28 11:38:59 +0200,Cannes 2022 : la Quinzaine des réalisateurs en grande forme esthétique
CINEMA,"Fait de collages d’images médicales, le documentaire de Verena Paravel et Lucien Castaing-Taylor ouvre des perspectives esthétiques et anthropologiques.",2022-05-28 12:14:49 +0200,"Festival de Cannes : « De Humani Corporis Fabrica », images sous la peau et veine expérimentale"
CINEMA,"En 1990, le réalisateur Martin Scorsese avait offert au comédien américain le rôle de sa vie. Il y jouait un petit gangster sans envergure fasciné par les personnages incarnés par Robert De Niro et Joe Pesci. Il est mort le 26 mai, à l’âge de 67 ans.",2022-05-28 15:17:04 +0200,"La mort de Ray Liotta, acteur inoubliable des « Affranchis »"
CINEMA,"Pour « Le Monde », le photographe est passé de terrasses en chambres d’hôtels afin de saisir les acteurs et réalisateurs venus célébrer le septième art dans le Palais des festivals.",2022-05-28 15:34:08 +0200,Le Festival de Cannes vu par le photographe Audoin Desforges
CINEMA,"Il s’agit de la deuxième Palme pour le réalisateur suédois, déjà récompensé en 2017 pour « The Square ».",2022-05-28 18:30:12 +0200,"Cannes 2022, en direct : la Palme d’Or attribuée à Ruben Östlund pour « Triangle of sadness », Claire Denis et Lukas Dhont partagent le Grand prix"
CINEMA,"Cinq ans après « The Square », le réalisateur suédois triomphe de nouveau sur la croisette avec sa satire des super-riches et du luxe. Le Grand Prix a, lui, été attribué, ex æquo, à « Close », du Belge Lukas Dhont et à « Des étoiles à midi », de Claire Denis.",2022-05-29 04:43:28 +0200,"Cannes 2022 : avec « Triangle of sadness », de Ruben  Östlund, la Palme d’or récompense une critique acide des super-riches"
CINEMA,"Refuge dans le passé, amours empêchés et métaphores autour de la création artistique sont trois grands thèmes qui ont traversé les films présentés sur la Croisette. Comme pour mieux brosser le tableau d’une époque empreinte d’une grande inquiétude.",2022-05-29 11:05:36 +0200,Cannes 2022 : un palmarès brouillon pour clore une compétition officielle ouverte sur les maux du monde
CINEMA,"La section parallèle centrée sur le cinéma d’auteur et de découverte a également attribué le Prix du jury à « Joyland », premier long-métrage du Pakistanais Saim Sadiq.",2022-05-30 10:02:15 +0200,"Cannes 2022 : « Les Pires », de Lise Akoka et Romane Guéret, récompensé par Un certain regard"
CINEMA,"Les critiques ciblent notamment le partenariat avec le joaillier Chopard, dont la codirectrice s’est longtemps affichée avec des proches de Vladimir Poutine.",2022-05-30 17:18:09 +0200,Les Ukrainiens dénoncent l’ombre russe sur le Festival de Cannes
CINEMA,"A l’instar des festivals de musique, des cinémas, théâtres et musées lancent des initiatives pour améliorer l’offre culinaire associée au plaisir de la découverte artistique.",2022-05-30 18:00:16 +0200,"Mieux manger, le nouveau défi des lieux culturels"
CINEMA,"Selon un lanceur d’alerte, le FBI enquêterait sur le rôle du producteur Valerii An dans le financement du blockbuster américain.",2022-05-31 10:05:32 +0200,« Top Gun : Maverick » : soupçons d’argent russe dans le budget du film
CINEMA,"Chaque mercredi dans « La Matinale », les rédacteurs cinéma du « Monde » livrent leurs critiques des films à découvrir en salle.",2022-06-01 00:29:53 +0200,"« Compétition officielle », « Clara Sola », « La Ruche » : les films à l’affiche cette semaine"
CINEMA,Le premier long-métrage de la réalisatrice Blerta Basholli est inspiré d’une histoire vraie qui s’est déroulée en 1999 dans le village de Krushë e Madhe.,2022-06-01 12:45:11 +0200,"« La Ruche » : au Kosovo, l’âpre renaissance d’une veuve au deuil impossible"
CINEMA,"Le premier film, magnétique, de Nathalie Alvarez Mesen conte l’émancipation d’une guérisseuse dans un coin perdu en pleine nature.",2022-06-01 13:00:09 +0200,"« Clara Sola » : au Costa Rica, l’éveil enchanté d’une femme au désir"
CINEMA,"Penélope Cruz, Antonio Banderas et Oscar Martinez surprennent dans la comédie grinçante de Mariano Cohn et de Gaston Duprat.",2022-06-01 14:00:17 +0200,« Compétition officielle » : une satire du cinéma servie par un trio de stars
CINEMA,"Véritable défilement d’images, sans narration, le documentaire sort en salle le 2 juin, pour marquer l’ouverture du jubilé.",2022-06-01 18:30:10 +0200,"« Elizabeth, regard(s) singulier(s) » : l’ode à la reine, pour fêter soixante-dix ans de règne"
CINEMA,"La manifestation internationale est l’occasion de découvrir les dix films sélectionnés pour la compétition, ainsi qu’une carte blanche offerte au Chinois Yang Fudong.",2022-06-24 15:00:11 +0200,"A Montreuil, le Festival 7e Lune met en lumière de jeunes cinéastes"
CINEMA,"Le film de Vittorio De Seta, distingué par le Prix du meilleur premier film à la Mostra de Venise, en 1961, ressort en salle en version restaurée.",2022-06-24 17:08:52 +0200,"Reprise : « Bandits à Orgosolo », la spirale de la clandestinité"
CINEMA,"La cinéaste berlinoise Maria Schrader raconte l’élaboration de son film, « I’m Your Man », et sa volonté de poser la question de la possession.",2022-06-25 16:30:03 +0200,Maria Schrader : « J’ai voulu créer des images que l’on n’a pas trop l’habitude de voir »
CINEMA,Le film de Baz Luhrmann est l’occasion d’un retour sur la représentation du King au cinéma.,2022-06-26 17:00:14 +0200,Elvis Presley pris aux pièges du grand écran
CINEMA,"Dans un entretien au « Monde », l’actrice américaine, figure féministe engagée aux Etats-Unis, critique la décision « choquante » prise par les juges de la Cour d’annuler l’arrêt Roe vs Wade, qui garantissait le droit à l’avortement dans tout le pays.",2022-06-26 20:55:13 +0200,Jane Fonda : « La Cour suprême est devenue un cloaque d’extrême droite »
CINEMA,"Le chanteur-acteur signe un deuxième album, « Saxophonia ». Il évoque ses premières amours pour le tennis, jusqu’à un accident survenu à l’adolescence.",2022-06-27 18:00:28 +0200,"Benjamin Siksou : « Sur mon nouvel album, j’ai eu envie de revenir à la beauté du live »"
